"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 03 13:42:16 GMT 2024","Wed Apr 03 13:42:22 GMT 2024","5556","tests","","","","","""Zoom Phone"" and FAQ shown on the Zoom Phone page",""
"passed","Wed Apr 03 13:42:08 GMT 2024","Wed Apr 03 13:42:15 GMT 2024","6235","tests","","","","","Velidation error message shown after registration details filled except email",""
"passed","Wed Apr 03 13:41:48 GMT 2024","Wed Apr 03 13:41:59 GMT 2024","10173","tests","","","","","The success message shown after subscribing for a blog",""
"passed","Wed Apr 03 13:41:21 GMT 2024","Wed Apr 03 13:41:27 GMT 2024","6572","tests","","","","","Resources block shown on the Healthcare page",""
"passed","Wed Apr 03 13:41:29 GMT 2024","Wed Apr 03 13:41:37 GMT 2024","7199","tests","","","","","Verify the email input on the main page",""
"passed","Wed Apr 03 13:42:00 GMT 2024","Wed Apr 03 13:42:08 GMT 2024","8125","tests","","","","","Recaptcha message shown after the registration",""
"passed","Wed Apr 03 13:41:37 GMT 2024","Wed Apr 03 13:41:40 GMT 2024","2902","tests","","","","","Product sections are displayed on the Products page",""
"passed","Wed Apr 03 13:41:41 GMT 2024","Wed Apr 03 13:41:46 GMT 2024","4950","tests","","","","","The short_code SMS_message price is displayed",""
"passed","Wed Apr 03 13:41:11 GMT 2024","Wed Apr 03 13:41:18 GMT 2024","6658","tests","","","","","Validation error is shown on the Contact Us page without specifying details",""
"passed","Wed Apr 03 13:41:05 GMT 2024","Wed Apr 03 13:41:11 GMT 2024","6120","tests","","","","","Talk to an expert"" form shown on the Contact-Us page",""
